ampere,A,upright("A"),true
candela,cd,upright("cd"),true
kelvin,K,upright("K"),true
kilogram,kg,upright("kg"),true
gram,g,upright("g"),true
metre,m,upright("m"),true
meter,m,upright("m"),true
mole,mol,upright("mol"),true
second,s,upright("s"),true

becquerel,Bq,upright("Bq"),true
celsius,°C,degree.c,false
coulomb,C,upright("C"),true
farad,F,upright("F"),true
gray,Gy,upright("Gy"),true
hertz,Hz,upright("Hz"),true
henry,H,upright("H"),true
joule,J,upright("J"),true
lumen,lm,upright("lm"),true
katal,kat,upright("kat"),true
lux,lx,upright("lx"),true
newton,N,upright("N"),true
ohm,ohm,Omega,true
ohm,Ω,Omega,true
pascal,Pa,upright("Pa"),true
radian,rad,upright("rad"),true
siemens,S,upright("S"),true
sievert,Sv,upright("Sv"),true
steradian,sr,upright("sr"),true
tesla,T,upright("T"),true
volt,V,upright("V"),true
watt,W,upright("W"),true
weber,Wb,upright("Wb"),true

astronomicalunit,au,upright("au"),true
bel,B,upright("B"),true
dalton,Da,upright("Da"),true
day,d,upright("d"),true
decibel,dB,upright("dB"),true
degree,°,degree,false
degree,deg,degree,false
electronvolt,eV,upright("eV"),true
hectare,ha,upright("ha"),true
hour,h,upright("h"),true
litre,l,upright("l"),true
liter,L,upright("L"),true
arcminute,',prime,false
minute,min,upright("min"),true
arcsecond,\",prime.double,false
neper,Np,upright("Np"),true
tonne,t,upright("t"),true
ton,t,upright("t"),true

angstrom,Å,angstrom,true
erg,erg,upright("erg"),true
gauss,G,upright("G"),true
parsec,pc,upright("pc"),true
lightyear,ly,upright("ly"),true
year,a,upright("a"),true
year,yr,upright("a"),true
percent,%,percent,true

fahrenheit,°F,degree.f,false
inch,in,upright("in"),true
foot,ft,upright("ft"),true
mile,mi,upright("mi"),true
yard,yd,upright("yd"),true
